Force ;Length;Time;Position;Small Length
41.190980;0.2821842;5.62;0.2821842;0.01893446
41.213880;0.28305;5.64;0.28305;0.01893453
41.208730;0.2839158;5.66;0.2839158;0.0189346
41.240220;0.2847816;5.68;0.2847816;0.01893468
41.322670;0.285714;5.7;0.285714;0.01893476
41.315810;0.2866131;5.72;0.2866131;0.01893484
41.430320;0.2874789;5.74;0.2874789;0.01893492
41.503620;0.2883114;5.76;0.2883114;0.018935
41.554000;0.2892105;5.78;0.2892105;0.01893508
41.595230;0.2900097;5.8;0.2900097;0.01893518
41.591790;0.2907756;5.82;0.2907756;0.01893529
41.631880;0.2916414;5.84;0.2916414;0.01893538
41.666230;0.2926071;5.86;0.2926071;0.01893548
41.699440;0.2936061;5.88;0.2936061;0.01893559
41.731510;0.2945385;5.9;0.2945385;0.01893569
41.844880;0.2955042;5.92;0.2955042;0.01893578
41.938790;0.2965032;5.94;0.2965032;0.01893587
42.028110;0.2975688;5.96;0.2975688;0.01893595
42.135750;0.2985678;5.98;0.2985678;0.01893604
42.197590;0.2996334;6;0.2996334;0.01893612
42.268600;0.3006657;6.02;0.3006657;0.01893619
42.376240;0.3016314;6.04;0.3016314;0.01893628
42.481600;0.3026304;6.06;0.3026304;0.01893638
42.559470;0.3035628;6.08;0.3035628;0.01893648
42.628180;0.3044952;6.1;0.3044952;0.0189366
42.699180;0.3054276;6.12;0.3054276;0.01893672
42.740410;0.3063267;6.14;0.3063267;0.01893684
42.781640;0.3073257;6.16;0.3073257;0.01893696
42.772480;0.3083913;6.18;0.3083913;0.01893709
42.806830;0.3094902;6.2;0.3094902;0.01893721
42.912190;0.3106557;6.22;0.3106557;0.01893731
43.006090;0.3118545;6.24;0.3118545;0.01893741
43.127480;0.3130533;6.26;0.3130533;0.01893748
43.260320;0.3142188;6.28;0.3142188;0.01893752
43.377130;0.315351;6.3;0.315351;0.01893757
43.475620;0.3164499;6.32;0.3164499;0.01893761
43.583260;0.3174822;6.34;0.3174822;0.01893765
43.700070;0.3184812;6.36;0.3184812;0.01893768
43.782520;0.3196134;6.38;0.3196134;0.01893771
43.835210;0.3208122;6.4;0.3208122;0.01893773
43.892460;0.3220443;6.42;0.3220443;0.01893777
43.984070;0.323343;6.44;0.323343;0.01893782
44.087140;0.3246417;6.46;0.3246417;0.01893787
44.201660;0.3259071;6.48;0.3259071;0.01893792
44.336790;0.3272058;6.5;0.3272058;0.01893797
44.465050;0.3285711;6.52;0.3285711;0.01893802
44.579570;0.3299364;6.54;0.3299364;0.01893809
44.700960;0.3312018;6.56;0.3312018;0.01893817
44.840670;0.3323007;6.58;0.3323007;0.01893824
44.987260;0.3334329;6.6;0.3334329;0.01893833
45.085740;0.3345651;6.62;0.3345651;0.01893841
45.140710;0.335664;6.64;0.335664;0.01893849
45.184230;0.3367296;6.66;0.3367296;0.01893857
45.232320;0.3377619;6.68;0.3377619;0.01893866
45.305610;0.3387609;6.7;0.3387609;0.01893873
45.374320;0.3397932;6.72;0.3397932;0.01893879
45.344550;0.3407922;6.74;0.3407922;0.01893884
45.390360;0.3417912;6.76;0.3417912;0.01893888
45.416700;0.3427236;6.78;0.3427236;0.01893891
45.433880;0.3436227;6.8;0.3436227;0.01893894
45.462510;0.3444552;6.82;0.3444552;0.01893897
45.471660;0.3452544;6.84;0.3452544;0.01893901
45.475100;0.345987;6.86;0.345987;0.01893904
45.450480;0.3467529;6.88;0.3467529;0.01893908
45.449910;0.3475188;6.9;0.3475188;0.01893913
45.317070;0.3482847;6.92;0.3482847;0.01893918
45.259800;0.3490506;6.94;0.3490506;0.01893924
45.278130;0.3498831;6.96;0.3498831;0.01893931
45.234610;0.3506823;6.98;0.3506823;0.01893939
45.210560;0.3515148;7;0.3515148;0.01893947
45.186520;0.352314;7.02;0.352314;0.01893957
45.165900;0.3531132;7.04;0.3531132;0.01893967
45.147580;0.353979;7.06;0.353979;0.01893976
45.121240;0.3548115;7.08;0.3548115;0.01893984
45.114370;0.355644;7.1;0.355644;0.01893992
45.102920;0.3564432;7.12;0.3564432;0.01894
45.096040;0.3571425;7.14;0.3571425;0.01894007
45.115510;0.3577752;7.16;0.3577752;0.01894015
45.103490;0.3584079;7.18;0.3584079;0.01894022
45.089180;0.3590739;7.2;0.3590739;0.01894029
45.053670;0.3597399;7.22;0.3597399;0.01894036
44.957480;0.3603726;7.24;0.3603726;0.01894044
44.888770;0.3610053;7.26;0.3610053;0.01894053
44.858990;0.3616713;7.28;0.3616713;0.01894064
44.872730;0.3623706;7.3;0.3623706;0.01894076
44.846400;0.3631032;7.32;0.3631032;0.01894088
44.820060;0.3639024;7.34;0.3639024;0.018941
44.751350;0.3647682;7.36;0.3647682;0.01894114
44.765090;0.3657339;7.38;0.3657339;0.01894131
44.778830;0.3666996;7.4;0.3666996;0.01894149
44.879610;0.3677652;7.42;0.3677652;0.01894168
44.930000;0.3687642;7.44;0.3687642;0.01894186
45.005580;0.3696966;7.46;0.3696966;0.01894205
45.097190;0.3706623;7.48;0.3706623;0.01894225
45.163610;0.371628;7.5;0.371628;0.01894245
45.214000;0.3725271;7.52;0.3725271;0.01894265
45.307900;0.3733263;7.54;0.3733263;0.01894283
45.376610;0.3740922;7.56;0.3740922;0.01894298
45.390360;0.3749247;7.58;0.3749247;0.01894312
45.384630;0.3757572;7.6;0.3757572;0.01894324
45.381200;0.3766563;7.62;0.3766563;0.01894336
45.382340;0.377622;7.64;0.377622;0.01894346
45.366310;0.3785544;7.66;0.3785544;0.01894355
45.395510;0.3795534;7.68;0.3795534;0.01894362
45.539230;0.3806523;7.7;0.3806523;0.01894369
45.633140;0.3816846;7.72;0.3816846;0.01894375
45.711010;0.3826836;7.74;0.3826836;0.0189438
45.804910;0.3837492;7.76;0.3837492;0.01894385
45.882790;0.3848481;7.78;0.3848481;0.0189439
45.940040;0.385947;7.8;0.385947;0.01894395
46.033950;0.386946;7.82;0.386946;0.01894401
46.132430;0.387945;7.84;0.387945;0.01894406
46.194270;0.3888774;7.86;0.3888774;0.01894414
46.251530;0.389943;7.88;0.389943;0.01894422
46.290470;0.3911418;7.9;0.3911418;0.0189443
46.333990;0.3923739;7.92;0.3923739;0.01894439
46.416440;0.3936393;7.94;0.3936393;0.01894449
46.521790;0.3948714;7.96;0.3948714;0.01894457
46.638600;0.3960036;7.98;0.3960036;0.01894465
46.869930;0.3971691;8;0.3971691;0.01894473
46.927190;0.3983679;8.02;0.3983679;0.0189448
47.030250;0.3995667;8.04;0.3995667;0.01894488
47.133320;0.4007988;8.06;0.4007988;0.01894495
47.220360;0.4019976;8.08;0.4019976;0.01894501
47.314260;0.403263;8.1;0.403263;0.01894507
47.424190;0.4045284;8.12;0.4045284;0.01894514
47.529550;0.4058937;8.14;0.4058937;0.01894519
47.634910;0.407259;8.16;0.407259;0.01894525
47.740260;0.4087242;8.18;0.4087242;0.01894531
47.870820;0.4102893;8.2;0.4102893;0.01894536
48.001370;0.4118544;8.22;0.4118544;0.01894543
48.127340;0.4133196;8.24;0.4133196;0.01894551
48.257890;0.4146516;8.26;0.4146516;0.01894559
48.393020;0.4158171;8.28;0.4158171;0.01894568
48.466310;0.4169493;8.3;0.4169493;0.01894579
48.500670;0.4181148;8.32;0.4181148;0.01894592
48.497230;0.4192803;8.34;0.4192803;0.01894605
48.513260;0.4204125;8.36;0.4204125;0.01894619
48.532730;0.4214781;8.38;0.4214781;0.01894632
48.529290;0.4225437;8.4;0.4225437;0.01894645
48.509250;0.4237092;8.42;0.4237092;0.01894658
48.508110;0.4248747;8.44;0.4248747;0.01894671
48.473180;0.4260069;8.46;0.4260069;0.01894681
48.457150;0.4271391;8.48;0.4271391;0.01894692
48.444550;0.4281714;8.5;0.4281714;0.01894702
48.434250;0.4291038;8.52;0.4291038;0.01894714
48.421650;0.4300362;8.54;0.4300362;0.01894726
48.312850;0.430902;8.56;0.430902;0.01894741
48.202920;0.4318011;8.58;0.4318011;0.01894756
48.122750;0.4326669;8.6;0.4326669;0.01894771
48.033430;0.4335327;8.62;0.4335327;0.01894788
47.932660;0.4343652;8.64;0.4343652;0.01894804
47.847910;0.435231;8.66;0.435231;0.0189482
47.767750;0.4360968;8.68;0.4360968;0.01894837
47.671550;0.4369293;8.7;0.4369293;0.01894853
47.584520;0.4377951;8.72;0.4377951;0.01894867
